x,y,depth_value
-74.0477294921875,40.56953048706055,nan
-74.04595184326172,40.56953048706055,nan
-74.04417419433594,40.56953048706055,nan
-74.04240417480469,40.56953048706055,nan
-74.0406265258789,40.56953048706055,nan
-74.03884887695312,40.56953048706055,nan
-74.03707122802734,40.56953048706055,nan
-74.03529357910156,40.56953048706055,nan
-74.03352355957031,40.56953048706055,nan
-74.03174591064453,40.56953048706055,nan
-74.02996826171875,40.56953048706055,nan
-74.02819061279297,40.56953048706055,nan
-74.02641296386719,40.56953048706055,nan
-74.02464294433594,40.56953048706055,nan
-74.02286529541016,40.56953048706055,nan
-74.02108764648438,40.56953048706055,nan
-74.0193099975586,40.56953048706055,nan
-74.01753997802734,40.56953048706055,nan
-74.01576232910156,40.56953048706055,nan
-74.01398468017578,40.56953048706055,nan
-74.01220703125,40.56953048706055,nan
-74.01042938232422,40.56953048706055,nan
-74.00865936279297,40.56953048706055,nan
-74.00688171386719,40.56953048706055,nan
-74.0051040649414,40.56953048706055,nan
-74.00332641601562,40.56953048706055,nan
-74.00154876708984,40.56953048706055,nan
-73.9997787475586,40.56953048706055,nan
-73.99800109863281,40.56953048706055,nan
-73.99622344970703,40.56953048706055,nan
-73.99444580078125,40.56953048706055,nan
-73.99266815185547,40.56953048706055,nan
-73.99089813232422,40.56953048706055,nan
-73.98912048339844,40.56953048706055,nan
-73.98734283447266,40.56953048706055,nan
-73.98556518554688,40.56953048706055,nan
-73.9837875366211,40.56953048706055,nan
-73.98201751708984,40.56953048706055,nan
-73.98023986816406,40.56953048706055,nan
-73.97846221923828,40.56953048706055,nan
-73.9766845703125,40.56953048706055,nan
-73.97490692138672,40.56953048706055,nan
-73.97313690185547,40.56953048706055,nan
-73.97135925292969,40.56953048706055,nan
-73.9695816040039,40.56953048706055,nan
-73.96780395507812,40.56953048706055,nan
-73.96602630615234,40.56953048706055,nan
-73.9642562866211,40.56953048706055,nan
-73.96247863769531,40.56953048706055,nan
-73.96070098876953,40.56953048706055,nan
-73.95892333984375,40.56953048706055,nan
-73.95714569091797,40.56953048706055,nan
-73.95537567138672,40.56953048706055,nan
-73.95359802246094,40.56953048706055,nan
-73.95182037353516,40.56953048706055,nan
-73.95004272460938,40.56953048706055,nan
-73.94827270507812,40.56953048706055,nan
-73.94649505615234,40.56953048706055,nan
-73.94471740722656,40.56953048706055,nan
-73.94293975830078,40.56953048706055,nan
